x_ 1, x_ 2, x_ 3, x_ 4, x_ 5, x_ 6, x_ 7, x_ 8, x_ 9, x_10, x_11, x_12, x_13, x_14, x_15, x_16, x_17, x_18, x_19, x_20, x_21, x_22, x_23, x_24, x_25, x_26, x_27, x_28, x_29, x_30, x_31, x_32, x_33, x_34, x_35, x_36, x_37, x_38, x_39, x_40, x_41, x_42, x_43, x_44, x_45, x_46, x_47, x_48, x_49, x_50, x_51, x_52, x_53, x_54, x_55, x_56, x_57, x_58, x_59, x_60, x_61, x_62, x_63, x_64, x_65, x_66, x_67, x_68, x_69, x_70, x_71, x_72, x_73, x_74, x_75, x_76, x_77, x_78, x_79, x_80, x_81, x_82, x_83, x_84, x_85, x_86, x_87, x_88, x_89, x_90, x_91, x_92, x_93, x_94, x_95, C_ 1, C_ 2, C_ 3, C_ 4, C_ 5
-6.493200, 4.857913, 12.334877, -17.075041, NaN, NaN, 5.339252, NaN, -0.275014, NaN, 20.285799, -4.794856, 3.954316, -1.578608, -9.243433, NaN, -4.155171, 20.918427, -0.681425, -27.979220, NaN, NaN, -8.620529, 2.068230, NaN, 4.302145, -7.350752, 0.765932, NaN, -9.494510, -9.208879, -3.767776, -21.453622, -17.217876, -2.560346, 0.819728, -4.989601, 1.917309, 12.336317, 0.182469, 14.053323, 7.789162, 19.522712, -17.932272, 3.098947, NaN, 2.950656, -9.510642, NaN, 18.358456, -9.233049, 5.035053, -5.154370, 5.688773, NaN, 8.865248, -15.301608, -1.877952, -5.671419, -0.497643, -2.160203, -12.505687, 15.791849, -5.973460, -13.954149, -4.578306, -20.071205, 14.680319, 5.535123, NaN, -0.039710, 9.086198, -11.839703, -8.040473, -2.824044, 25.608358, -7.175178, 4.269341, 1.859168, 0.035599, 3.945482, -21.489805, -3.310134, 15.994260, -4.608364, -2.661989, 3.802699, 6.012018, -30.831163, NaN, 6.983981, 14.086256, NaN, 3.391461, 2.102585, G, I, G, J, NaN
-6.688701, 6.402298, 13.321841, -14.890575, -15.208925, 22.978112, -3.424436, 2.773030, 1.326065, -2.664610, 15.776144, -3.716671, 0.591728, -2.888894, -8.148315, 13.354182, -4.730590, 18.826510, -2.121671, -29.064378, -42.702610, 7.690187, -11.326487, -3.621391, NaN, 1.921469, -7.711974, -3.193984, -2.768784, NaN, NaN, -7.204578, -23.010342, -19.698380, -0.677292, -7.913283, -8.585303, 2.190887, 7.470906, 0.617714, 10.013700, 5.823380, 16.585761, -23.957326, NaN, NaN, NaN, -12.966967, 11.132606, 16.340432, -12.573763, -0.452792, NaN, 4.940887, NaN, 7.911033, -16.721099, -8.913398, -9.688478, NaN, -3.361325, -13.006084, 14.122577, -5.864601, -20.394243, NaN, -25.251093, 12.423428, -0.240783, 5.960546, 0.567589, 3.173946, NaN, -4.003842, -4.795012, 24.378758, NaN, 6.039237, NaN, -5.164081, 4.673189, -21.131333, -0.222943, 14.790550, -12.219641, -4.195056, 2.549679, 4.436252, NaN, -6.435776, 5.799896, 11.477398, -10.509565, -0.347968, -2.471949, I, I, NaN, NaN, H
-8.507726, 1.639164, NaN, -19.167274, -15.745444, 20.336708, NaN, NaN, 2.756582, -6.619169, NaN, -8.806269, 5.024052, -0.156965, -6.105513, 13.641469, -6.705809, 18.223928, NaN, -29.022429, -45.390236, 9.659472, -8.402862, -3.126568, -7.932380, -0.590160, -7.667735, -1.890642, -5.333540, -8.734170, NaN, -7.299655, -17.815504, -18.381640, -4.327270, -4.417668, -0.134087, -1.041698, 2.850554, -0.931002, 7.346958, 3.471123, NaN, -21.364913, -1.845311, NaN, NaN, -11.331616, 13.706186, 13.762074, NaN, 0.512328, NaN, 3.320909, 19.408528, 7.067382, -19.752117, -1.472175, NaN, NaN, -10.062250, NaN, 11.190541, -3.652700, -21.095573, -13.206630, -22.528918, 12.499701, NaN, NaN, 2.087778, 1.417721, -14.345347, -5.997692, -8.999965, 29.050150, -10.458599, 3.331338, 1.256446, -4.353288, 3.451221, -20.742215, NaN, 10.968467, -7.727110, -3.809937, 2.671304, 3.119847, -33.272728, -3.679832, 9.498865, NaN, -6.555100, -3.588808, -2.342992, NaN, H, NaN, H, K
-12.841493, NaN, 11.307615, -22.689726, -17.290155, 20.984080, -1.775278, 2.554297, 0.315108, -4.498758, 15.397127, -7.717458, 3.286491, -2.729471, NaN, 14.040199, -6.245130, 17.435538, NaN, -30.185567, -48.357131, 7.947318, -10.757962, -5.167722, NaN, -1.319140, -11.808194, -5.244769, -2.396216, -8.986302, -13.751224, NaN, -22.790766, -21.437059, -1.903971, -5.340392, -2.320436, -3.003956, 7.232216, -2.173159, 6.237381, 7.033466, 16.489732, -25.813747, -0.542091, -11.115013, 5.286859, -8.135341, 13.128310, 17.058142, -13.401513, -3.999265, -8.115036, NaN, 18.860534, NaN, -17.278003, -8.487344, -9.146501, -3.749245, -5.440333, -12.766404, 9.059501, NaN, NaN, NaN, -28.441205, 12.176575, NaN, 3.738952, -2.687381, 2.617792, NaN, -8.290766, -7.549090, 23.106222, -14.550095, 2.251197, -2.220216, -3.627952, 1.725709, -26.103569, -2.599939, 11.062644, -10.530245, -8.390266, 0.930408, 2.797268, -36.442482, -7.670354, 8.428060, 12.257391, -8.267102, -1.373772, -5.374916, G, H, K, K, J
-8.555160, NaN, 13.122784, -12.977789, -14.144455, 24.086075, 6.270027, 2.181681, 6.731993, NaN, 16.711357, -6.386582, 9.783439, -0.161292, -6.955441, 15.865732, -5.429620, 13.744937, -2.871973, -23.359933, -45.115615, 10.207311, -8.202842, 1.703795, -5.062299, 2.301340, -4.639252, -0.721651, NaN, -8.780644, -8.942437, NaN, -21.978660, -18.280371, 0.231262, -6.785617, -4.953086, 0.611911, 7.756661, 2.017332, NaN, 8.118632, NaN, NaN, 2.409194, -8.127480, NaN, -13.737928, 16.207637, 20.591756, -11.347727, 2.163204, -10.175348, 7.483711, 19.792417, 4.142263, NaN, 0.527730, -10.901560, NaN, -4.875307, -9.135138, NaN, -9.740821, -21.938107, -5.443811, -16.380860, 16.249720, 2.323250, 8.020574, NaN, 6.232724, -13.623469, -4.724983, -2.853645, 30.885729, NaN, NaN, -4.341407, 1.814221, 3.025614, -22.069073, -0.342457, 23.314672, -6.977576, -1.446679, NaN, 7.196290, -31.796824, -7.212525, 11.065901, 8.004617, -10.170813, 2.445537, NaN, H, I, J, H, G
-11.581414, 2.033466, 8.638852, -12.249232, -19.351819, 23.017498, -0.297364, NaN, -2.260586, -6.728059, 14.011515, -3.621082, 0.197831, -3.723533, -12.134251, 10.030501, -5.596166, 15.326701, -6.891391, -31.060478, -48.513342, 10.574673, NaN, NaN, -7.243026, -6.597439, NaN, -0.576811, -7.896729, -11.150542, NaN, -10.457962, -20.320114, -20.573224, -3.920445, -10.088065, -5.423555, NaN, NaN, -3.325005, 10.697101, 5.174941, 22.821656, -20.696824, -1.427693, -6.701973, 4.947027, NaN, NaN, 15.307998, -13.086750, -0.161545, -12.159293, 8.150189, 13.589814, 6.417325, NaN, -0.344330, NaN, -8.557712, -8.276442, -16.834756, 13.426401, -9.211552, -26.009377, -7.321894, -21.073716, 14.954103, -1.066107, 7.634099, 3.529807, 2.013704, -10.867266, -4.265057, -9.581253, NaN, -12.113861, 0.999385, 0.107809, -5.138681, 1.056432, -19.606772, -4.526185, 15.417655, -12.697771, -7.645013, 0.762545, 4.638621, NaN, -4.948007, 6.342297, NaN, -7.266876, -4.206440, 1.928793, NaN, H, I, NaN, K
-4.981761, 8.519576, 15.443969, -17.160366, NaN, 21.496286, -1.069276, 1.243661, 5.235561, -3.426256, 14.368264, -2.748265, 3.319216, -1.574504, -6.508990, NaN, NaN, 19.102779, -3.327996, -29.238558, -41.272804, 12.930322, -8.853392, -1.587050, -6.827202, -0.635120, -5.296826, -0.618604, -3.941041, -10.128530, -9.151053, -4.659957, -17.523666, -17.621277, 1.311991, -5.865004, -2.516719, NaN, 7.587546, -1.879859, 13.370938, 7.114676, 24.042406, -20.392819, -1.552146, -4.871471, NaN, -12.515749, 12.275315, 17.583541, -11.637051, NaN, -9.634457, 6.937349, 16.872738, 10.740405, -18.827975, -1.837079, NaN, -1.864090, NaN, NaN, 13.565022, -5.329668, -23.412043, -5.446871, NaN, 16.819906, 1.663135, NaN, NaN, 4.260866, -12.666581, -1.257439, -6.931551, 26.415262, -11.758859, 3.930772, 0.119888, -0.528090, 6.007373, NaN, 1.088711, 17.249850, -12.573305, NaN, 3.230915, 5.279225, -32.587318, -1.449168, 12.116432, 14.425660, NaN, NaN, -2.228835, H, I, G, J, G
-10.016240, 2.600921, NaN, NaN, -13.503943, 23.122776, 4.020541, 3.756771, -1.300190, -7.363724, 10.492325, -7.578172, -1.006680, -0.771060, -7.649172, NaN, NaN, 15.017566, -1.721278, -29.836294, NaN, 12.263183, -9.425877, -2.128892, -12.053069, NaN, -11.412300, -5.484129, -5.347435, -10.098139, NaN, -7.221778, -22.113320, -16.319803, NaN, -5.501270, -1.432028, -4.451996, 6.198911, -1.876891, 11.043285, -0.319378, 20.485266, -25.953801, -3.219107, NaN, 1.719632, -10.337730, 16.254426, 14.559701, -11.483923, -2.924247, -8.437571, 6.295241, 15.144758, NaN, -21.150788, -4.203012, -7.214021, -4.715148, -8.544641, -15.746672, 8.284833, -5.374775, -22.421713, -6.897850, -20.981902, NaN, 0.448736, 9.086156, NaN, -0.522900, -12.761988, -8.261625, -8.488564, 24.803377, -8.752428, NaN, -4.684276, -6.312716, 6.373944, -19.762855, -4.519969, 14.252896, -9.129309, -6.878087, -2.796069, 2.992652, -36.673486, -6.466256, 4.662557, NaN, -6.408185, -5.379945, -2.051513, K, I, J, K, G
-6.125908, 8.055846, 15.459509, -15.913496, -10.351638, 29.035828, 9.635380, 11.647153, 6.253733, -2.514735, 15.254788, -5.919910, 8.412749, 1.359983, -8.340564, 18.192668, -5.672832, NaN, -5.634102, -31.169692, -45.084636, 8.346472, NaN, -1.960854, -3.444916, 3.295842, NaN, NaN, 0.822649, -5.244490, NaN, -6.246586, -13.637354, -19.449788, 0.252892, -2.715660, -0.982111, 2.330323, NaN, -1.527008, NaN, 10.884439, NaN, -15.786534, 2.025674, -5.248156, 2.187204, -7.644191, 19.393448, 20.218385, -5.493870, NaN, -8.183111, 7.503832, 19.729864, 6.294316, NaN, 2.882391, -7.304977, -2.073973, -4.768510, -7.838010, 11.038138, -5.260502, -15.563958, -1.153206, -21.028158, 18.254467, NaN, 6.793412, 2.813255, 3.245689, -8.587112, -6.766122, -8.345634, 29.679175, -8.249746, 5.177333, -0.144194, -0.688397, 3.620515, -21.767127, NaN, 19.302511, -6.470823, -1.300484, 5.466414, 5.333344, NaN, -2.617554, 9.113186, NaN, -10.890435, 2.126627, NaN, I, NaN, J, G, J
-4.593261, 5.589658, NaN, -15.195908, -12.087648, 24.170861, 9.146394, 9.290994, 2.304327, -2.953640, 16.489393, 3.072911, 6.679047, 3.177161, -3.617044, 15.455965, -0.073580, 22.911595, -2.340101, -24.563109, -44.960456, 16.207001, -8.047390, 3.186527, -5.196620, 2.371177, -4.035264, 0.628039, 1.716301, NaN, -5.264528, -7.027973, NaN, -20.015006, NaN, 1.089347, -1.823816, 2.507274, NaN, -1.121614, 13.217778, NaN, NaN, -18.468911, -2.091004, -6.020878, 0.733860, -6.674743, NaN, 20.594163, -3.777088, 3.895158, -4.782119, 8.665311, 23.558503, 10.523922, -17.602876, NaN, -4.571411, 0.454514, 1.087793, -11.093843, 17.988146, 0.163059, -15.005315, -4.756467, NaN, NaN, 8.095610, 9.600056, 3.839282, 4.990691, -6.515681, -3.702957, -3.934723, 30.947238, -3.984663, 12.192014, -0.006325, -0.656912, 10.086866, -14.320026, NaN, 12.545026, NaN, -0.855445, 0.831662, 4.399209, -31.382303, -1.791063, 7.650967, 13.604060, -4.567645, 5.912064, 6.320480, I, H, K, G, J
